name,MinorMasterId,MLBAMId,age,level,team,Position,Throws,pscore,score_p,ip,krate,bbrate,chaserate,whiffrate,zcontact,velocity,spin_rate,xwoba,woba,savant_url,UPURL
Daniel Brooks,sa3076306,695500.0,23,Rk,ATL,P,0,7.818564728812967,0.1530398322851153,11.2,20.0,12.727273,43.877551020408156,24.46808510638298,75.0,0.0,0.0,0.0,0.29,Daniel-Brooks-695500,/players/daniel-brooks/sa3027752/stats/pitching
Jorge Mitre,sa3067575,829087.0,20,Rk,PHI,P,0,19.256147064736464,0.6799440950384347,12.2,34.545455000000004,12.727273,26.271186440677965,24.705882352941174,75.43859649122807,0.0,0.0,0.0,0.302,Jorge-Mitre-829087,/players/jorge-mitre/sa3067575/stats/pitching
Jose Romero,sa3077004,837932.0,17,Rk,PHI,P,0,38.39074200728121,0.9874213836477987,12.2,36.363636,9.090909,35.15625,35.849056603773576,73.77049180327869,0.0,0.0,0.0,0.32,Jose-Romero-837932,0
Marco Corcho,sa3021484,806866.0,21,Rk,LAD,P,0,6.69857391465932,0.103424178895877,7.1,16.363636,40.0,15.602836879432626,31.578947368421048,74.28571428571429,0.0,0.0,0.0,0.442,Marco-Corcho-806866,/players/marco-corcho/sa3021484/stats/pitching
Frankeurys Marte,sa3077264,837795.0,17,Rk,KCR,P,0,19.89719123145213,0.705800139762404,10.2,20.0,14.545455,22.58064516129032,35.95505617977528,76.78571428571429,0.0,0.0,0.0,0.426,Frankeurys-Marte-837795,0
Carlos Lorenzo,sa3068507,831105.0,19,Rk,PIT,P,0,15.620837997299907,0.522711390635919,11.0,21.818182,29.090909,18.954248366013076,36.231884057971016,75.0,0.0,0.0,0.0,0.318,Carlos-Lorenzo-831105,/players/carlos-lorenzo/sa3068507/stats/pitching
Dominic Castellano,sa3076358,803273.0,22,Rk,SEA,P,0,7.9457014126060095,0.15653389238294899,8.1,21.818182,23.636364,18.115942028985508,35.29411764705883,71.66666666666667,0.0,0.0,0.0,0.52,Dominic-Castellano-803273,0
Juan Jordan,sa3068115,829858.0,18,Rk,LAA,P,0,20.28447328135449,0.7232704402515723,13.2,16.666667,12.962963,31.460674157303373,27.55102040816326,81.42857142857143,0.0,0.0,0.0,0.222,Juan-Jordan-829858,/players/juan-jordan/sa3068115/stats/pitching
Dani Richar,sa3067561,820874.0,20,Rk,BOS,P,0,7.604853859544929,0.13487071977638015,11.0,18.518519,29.62963,19.708029197080293,25.71428571428571,88.3720930232558,0.0,0.0,0.0,0.34700000000000003,Dani-Richar-820874,/players/dani-richar/sa3067561/stats/pitching
Wascar Berroa,sa3068804,835650.0,20,Rk,BOS,P,0,17.841747294571274,0.6198462613556953,12.2,29.62963,24.074074,19.463087248322147,31.707317073170728,73.23943661971832,0.0,0.0,0.0,0.265,Wascar-Berroa-835650,/players/wascar-berroa/sa3068804/stats/pitching
Pietro Albanez-Rienzo,sa3076986,837632.0,18,Rk,PIT,P,0,16.78283219332992,0.5800139762403913,14.0,11.111111,9.259259,32.09876543209877,17.567567567567572,83.33333333333334,0.0,0.0,0.0,0.19899999999999998,Pietro-Albanez-Rienzo-837632,0
Justin Lugo,sa3024601,823783.0,20,Rk,MIL,P,0,21.680841046644225,0.7651991614255765,13.1,42.592593,20.37037,18.939393939393934,49.382716049382715,64.28571428571429,0.0,0.0,0.0,0.266,Justin-Lugo-823783,/players/justin-lugo/sa3024601/stats/pitching
Rafi Santo,sa3068887,835975.0,19,Rk,KCR,P,0,12.17486004717102,0.36268343815513626,12.0,5.555555999999998,7.407407000000001,31.645569620253173,20.792079207920796,83.52941176470588,0.0,0.0,0.0,0.39399999999999996,Rafi-Santo-835975,/players/rafi-santo/sa3068887/stats/pitching
Eduardo Pina,sa3077525,838005.0,17,Rk,NYM,P,0,37.4683294031337,0.983927323549965,14.1,22.222222,9.259259,26.373626373626376,27.884615384615394,75.0,0.0,0.0,0.0,0.265,Eduardo-Pina-838005,0
Amilkar Romero,sa3068616,829846.0,18,Rk,CHC,P,0,22.336073031250898,0.7854647099930119,12.1,20.37037,14.814815,20.720720720720717,31.645569620253173,71.42857142857143,0.0,0.0,0.0,0.21100000000000002,Amilkar-Romero-829846,/players/amilkar-romero/sa3068616/stats/pitching
Miguel Andrade,sa3077265,837804.0,18,Rk,MIL,P,0,19.847109852490266,0.7023060796645703,11.0,18.518519,9.259259,23.469387755102037,21.052631578947366,81.13207547169812,0.0,0.0,0.0,0.408,Miguel-Andrade-837804,0
Starlin Alberto,sa3067594,829900.0,18,Rk,CIN,P,0,20.543799738566985,0.7330538085255066,13.1,22.222222,11.111111,29.57746478873239,24.39024390243902,87.27272727272727,0.0,0.0,0.0,0.26899999999999996,Starlin-Alberto-829900,/players/starlin-alberto/sa3067594/stats/pitching
Carlos Pena,sa3077556,826535.0,18,Rk,TOR,P,0,15.950313487928787,0.5380852550663872,11.1,18.518519,12.962963,19.65811965811966,20.224719101123593,77.14285714285717,0.0,0.0,0.0,0.371,Carlos-Pena-826535,0
Varis Villarreal,sa3024622,827472.0,20,Rk,NYY,P,0,18.311403103751477,0.639412997903564,11.0,26.415094,9.433962,21.782178217821784,28.04878048780488,76.66666666666667,0.0,0.0,0.0,0.375,Varis-Villarreal-827472,/players/varis-villarreal/sa3024622/stats/pitching
Deiker Rojas,sa3076973,837310.0,20,Rk,CLE,P,0,16.737846996474907,0.5772187281621244,11.0,22.641509000000006,15.094339999999999,23.484848484848484,27.27272727272727,78.04878048780488,0.0,0.0,0.0,0.33,Deiker-Rojas-837310,0
Domingo Mejía,sa3076959,835309.0,19,Rk,STL,P,0,16.608869906260388,0.5723270440251572,10.0,16.981132000000002,15.094339999999999,26.271186440677965,31.707317073170728,78.43137254901961,0.0,0.0,0.0,0.45399999999999996,Domingo-Mejía-835309,0
Mingxuan Zhang,sa3077401,838058.0,18,Rk,PIT,P,0,23.845116193461667,0.8120195667365478,11.1,26.415094,22.641509000000006,18.253968253968253,34.615384615384606,67.27272727272727,0.0,0.0,0.0,0.29600000000000004,Mingxuan-Zhang-838058,0
Allen Ajoti,sa3025172,821808.0,20,Rk,LAD,P,0,11.512875714760485,0.33473095737246683,11.1,18.867925,15.094339999999999,21.296296296296298,27.27272727272727,85.18518518518519,0.0,0.0,0.0,0.348,Allen-Ajoti-821808,/players/allen-ajoti/sa3025172/stats/batting
Marco Eluscat,sa3025026,821644.0,19,Rk,SDP,P,0,17.684125048370376,0.6163522012578616,11.0,18.867925,22.641509000000006,27.55102040816326,31.08108108108108,74.46808510638297,0.0,0.0,0.0,0.313,Marco-Eluscat-821644,/players/marco-eluscat/sa3025026/stats/pitching
Wilfi Rodriguez,sa3069037,829941.0,18,Rk,CLE,P,0,3.9278693265988536,0.0286512928022362,8.1,15.094339999999999,28.301887,15.757575757575754,18.421052631578945,86.20689655172413,0.0,0.0,0.0,0.483,Wilfi-Rodriguez-829941,/players/wilfi-rodriguez/sa3069037/stats/pitching
Rey Feliz,sa3024874,827371.0,19,Rk,CLE,P,0,2.7517765392470066,0.012578616352201259,10.0,11.320755,24.528302,18.103448275862068,17.105263157894736,92.72727272727272,0.0,0.0,0.0,0.405,Rey-Feliz-827371,/players/rey-feliz/sa3024874/stats/pitching
Brian Arias,sa3017768,702909.0,22,Rk,NYY,P,0,10.275733852334225,0.27672955974842767,9.1,24.528302,22.641509000000006,21.014492753623188,42.42424242424242,70.21276595744679,0.0,0.0,0.0,0.34600000000000003,Brian-Arias-702909,/players/brian-arias/sa3017768/stats/pitching
Diego Figueroa,sa3068834,835886.0,20,Rk,KCR,P,0,16.364251068405842,0.5604472396925227,8.2,16.981132000000002,13.207547,33.0188679245283,29.11392405063291,72.72727272727273,0.0,0.0,0.0,0.395,Diego-Figueroa-835886,/players/diego-figueroa/sa3068834/stats/pitching
Christopher Navas,sa3077274,838003.0,17,Rk,WSN,P,0,5.113390902254169,0.05660377358490566,7.2,9.433962,22.641509000000006,12.711864406779661,22.53521126760564,80.35714285714286,0.0,0.0,0.0,0.534,Christopher-Navas-838003,0
Jose Vargas,sa3068517,832788.0,18,Rk,NYY,P,0,22.202578178235974,0.7777777777777778,12.0,20.754717000000003,11.320755,26.126126126126128,29.06976744186047,82.45614035087719,0.0,0.0,0.0,0.332,Jose-Vargas-832788,/players/jose-vargas/sa3068517/stats/pitching
Daniel Burciaga,sa3068704,833229.0,18,Rk,SDP,P,0,15.155704128256442,0.4996505939902166,10.2,18.867925,18.867925,20.33898305084746,26.923076923076927,78.18181818181819,0.0,0.0,0.0,0.374,Daniel-Burciaga-833229,/players/daniel-burciaga/sa3068704/stats/pitching
Saul Aguero,sa3077703,843058.0,18,Rk,PIT,P,0,30.006320440029345,0.9315164220824598,12.0,28.301887,11.320755,27.184466019417478,33.00970873786408,74.66666666666667,0.0,0.0,0.0,0.31,Saul-Aguero-843058,0
Misael Almanzar,sa3077648,842662.0,18,Rk,LAA,P,0,11.371536880117409,0.3312368972746331,11.0,15.094339999999999,16.981132000000002,30.252100840336126,19.41747572815534,91.04477611940298,0.0,0.0,0.0,0.358,Misael-Almanzar-842662,0
Juan Quinones,sa3067587,829778.0,18,Rk,MIN,P,0,26.928770630819393,0.8825995807127882,10.1,26.923077000000003,17.307692000000003,26.95652173913044,35.483870967741936,73.77049180327869,0.0,0.0,0.0,0.37799999999999995,Juan-Quinones-829778,/players/juan-quinones/sa3067587/stats/pitching
Antony Ventura,sa3068708,835498.0,17,Rk,COL,P,0,9.885551211874953,0.2543675751222921,9.1,15.384614999999998,17.307692000000003,19.65811965811966,20.0,87.23404255319151,0.0,0.0,0.0,0.39799999999999996,Antony-Ventura-835498,/players/antony-ventura/sa3068708/stats/pitching
Kevin Tejada,sa3022046,813979.0,21,Rk,DET,P,0,5.341444492776295,0.05870020964360587,10.2,9.615385,9.615385,25.53191489361702,16.0,82.35294117647058,0.0,0.0,0.0,0.409,Kevin-Tejada-813979,/players/kevin-tejada/sa3022046/stats/pitching
Eliezel Marte,sa3077413,839713.0,17,Rk,LAD,P,0,5.054490366846848,0.05450733752620545,7.2,7.6923080000000015,26.923077000000003,21.70542635658915,23.529411764705877,95.65217391304348,0.0,0.0,0.0,0.48,Eliezel-Marte-839713,0
Devin Kirby,sa3022908,808846.0,26,Rk,ATH,P,0,4.5170598613655,0.04122990915443746,13.0,34.615385,3.846154,27.27272727272727,23.07692307692308,84.28571428571429,0.0,0.0,0.0,0.195,Devin-Kirby-808846,/players/devin-kirby/sa3022908/stats/pitching
Jatnk Diaz,sa3023181,813891.0,21,Rk,DET,P,0,7.606397871044779,0.13556953179594688,12.0,15.384614999999998,17.307692000000003,31.404958677685947,23.943661971830984,84.84848484848484,0.0,0.0,0.0,0.273,Jatnk-Diaz-813891,/players/jatnk-diaz/sa3023181/stats/pitching
Jesus Garcia,sa3068909,835199.0,18,Rk,KCR,P,0,13.45009966868747,0.4248777078965758,10.2,17.307692000000003,15.384614999999998,20.0,19.767441860465123,85.29411764705883,0.0,0.0,0.0,0.33399999999999996,Jesus-Garcia-835199,/players/jesus-garcia/sa3068909/stats/pitching
Enrique Quintana,sa3076458,837626.0,18,Rk,PIT,P,0,3.004059287850348,0.017470300489168415,7.1,9.615385,28.846154,17.094017094017097,11.428571428571427,94.0,0.0,0.0,0.0,0.488,Enrique-Quintana-837626,0
Alsy Torres,sa3077245,837083.0,18,Rk,NYM,P,0,10.033639608160872,0.26275331935709295,10.1,13.461538,21.153845999999998,15.873015873015873,29.57746478873239,82.35294117647058,0.0,0.0,0.0,0.389,Alsy-Torres-837083,0
Carlos Beras,sa3024233,820928.0,21,Rk,KCR,P,0,2.9875866175110004,0.01607267645003494,11.0,13.461538,21.153845999999998,19.148936170212764,15.942028985507244,88.23529411764706,0.0,0.0,0.0,0.35200000000000004,Carlos-Beras-820928,/players/carlos-beras/sa3024233/stats/pitching
Jonathan Santana,sa3068138,830607.0,19,Rk,CIN,P,0,9.244124419416512,0.22152341020265548,7.2,21.568627000000006,31.372549,14.166666666666664,29.411764705882355,79.41176470588233,0.0,0.0,0.0,0.419,Jonathan-Santana-830607,/players/jonathan-santana/sa3068138/stats/pitching
Jose Arias,sa3068338,829417.0,19,Rk,MIL,P,0,12.97722303934227,0.4025157232704403,9.1,17.647059000000006,15.686275,27.835051546391764,25.806451612903228,85.71428571428571,0.0,0.0,0.0,0.365,Jose-Arias-829417,/players/jose-arias/sa3068338/stats/pitching
Anthony Aquino,sa3025108,826464.0,20,Rk,CIN,P,0,10.35069357361835,0.2802236198462614,11.0,15.686275,19.607843,25.409836065573767,26.506024096385545,82.14285714285714,0.0,0.0,0.0,0.28300000000000003,Anthony-Aquino-826464,/players/anthony-aquino/sa3025108/stats/pitching
