name,MinorMasterId,MLBAMId,age,level,team,Position,Bats,pscore,score_p,pa,woba,xwoba,wrcplus,iso,bbrate,krate,chaserate,whiffrate,zcontact,ev90,maxev,barrelpa,bat_speed,spd,savant_url,UPURL
Garrett Howe,sa3025441,827628.0,23,A+,CLE,2B/SS,0,11.45579852979392,0.2875457875457875,119,0.2540745449667217,0.0,37.38480291271291,0.066037735,10.0840336,29.4117647,20.212765957446805,24.87309644670051,84.10596026490066,0.0,0.0,0.0,0.0,5.923801593736871,Garrett-Howe-827628,/players/garrett-howe/sa3025441/stats/batting
Tom Poole,sa3069123,809231.0,23,A+,TBR,OF,0,12.113358954349199,0.31868131868131866,118,0.3513777138840439,0.0,101.64355476052995,0.245098039,11.8644067,37.288135499999996,28.91156462585034,36.79245283018868,72.60273972602741,0.0,0.0,0.0,0.0,3.503769135626821,Tom-Poole-809231,/players/tom-poole/sa3040075/stats/batting
Christian Martin,sa3025155,802353.0,23,A+,STL,2B,0,12.229527962687296,0.32783882783882784,118,0.31199104256100124,0.0,71.57934345433158,0.05,11.8644067,29.6610169,25.296442687747035,27.173913043478255,85.82089552238807,0.0,0.0,0.0,0.0,5.569429532582312,Christian-Martin-802353,/players/christian-martin/sa3025155/stats/batting
David García,sa3003197,671272.0,26,A+,MIL,C,0,2.417307585837895,0.02197802197802198,116,0.291014860930114,0.0,57.97880841217372,0.088235294,10.3448275,25.862068899999997,28.057553956834532,29.1866028708134,82.71604938271605,0.0,0.0,0.0,0.0,2.05691964,David-García-671272,/players/david-garcia/sa3003197/stats/batting
Cole Mathis,sa3037300,695573.0,22,A+,CHC,1B,0,29.29739167268321,0.9065934065934066,116,0.3857782041204387,0.0,116.92454687452637,0.229166667,14.655172400000001,22.4137931,22.72727272727273,20.994475138121548,88.09523809523809,0.0,0.0,0.0,0.0,7.687355878646269,Cole-Mathis-695573,/players/greyson-mathis/sa3037300/stats/batting
Jose D. Hernandez,sa3015557,691559.0,23,A+,LAD,1B/3B,0,14.276732751136072,0.4249084249084249,116,0.3467860535301011,0.0,94.48100651756606,0.13,12.9310344,18.1034482,35.106382978723396,28.70813397129186,81.56028368794325,0.0,0.0,0.0,0.0,3.3929902638804483,Jose-D.-Hernandez-691559,/players/jose-hernandez/sa3015557/stats/batting
Angel Cepeda,sa3021080,806980.0,20,A+,CHC,3B/SS,0,21.201974487416553,0.7032967032967034,116,0.3591301939610777,0.0,100.89537861099865,0.064516129,14.655172400000001,26.724137899999995,27.24014336917563,34.653465346534645,77.85234899328859,0.0,0.0,0.0,0.0,4.011040388981287,Angel-Cepeda-806980,/players/angel-cepeda/sa3021080/stats/batting
Eli Willits,sa3069164,816113.0,18,A+,WSN,SS,0,41.03846153846153,1.0,115,0.39388943298728063,0.0,130.2280736675334,0.23863636300000002,21.739130399999997,17.391304299999998,17.343173431734318,20.0,87.83783783783785,0.0,0.0,0.0,0.0,5.447122620135835,Eli-Willits-816113,/players/eli-willits/sa3069164/stats/batting
Miguel Briceno,sa3015566,691605.0,22,A+,MIN,3B,0,19.66069130134184,0.652014652014652,115,0.3627758616986482,0.0,104.28520189035446,0.179245283,6.956521700000001,20.8695652,31.300813008130078,23.958333333333336,86.61417322834646,0.0,0.0,0.0,0.0,2.049109479186373,Miguel-Briceno-691605,/players/miguel-briceno/sa3015566/stats/batting
Hayden Gilliland,sa3067285,828600.0,24,A+,TOR,C,0,12.148553979177313,0.32051282051282054,115,0.3533573850341465,0.0,110.91669923145001,0.152173913,18.260869500000002,24.347826,18.97233201581028,28.176795580110497,81.203007518797,0.0,0.0,0.0,0.0,1.12042124,Hayden-Gilliland-828600,/players/hayden-gilliland/sa3067285/stats/batting
Jacob Walsh,sa3044728,701862.0,23,A+,WSN,1B,0,6.128463156855216,0.1043956043956044,114,0.2813203638153417,0.0,61.60552600243576,0.147058824,7.017543799999999,30.7017543,36.885245901639344,33.48623853211009,79.36507936507937,0.0,0.0,0.0,0.0,3.1893603325592768,Jacob-Walsh-701862,/players/jacob-walsh/sa3044728/stats/batting
Ariel Almonte,sa3015708,694200.0,22,A+,CIN,OF,0,9.228051877462084,0.19047619047619047,112,0.2594230105834348,0.0,39.4831906896571,0.171717172,9.8214285,33.0357142,30.2013422818792,33.482142857142854,77.7777777777778,0.0,0.0,0.0,0.0,1.898809515,Ariel-Almonte-694200,/players/ariel-almonte/sa3015708/stats/batting
Trevor Werner,sa3022592,687731.0,25,A+,KCR,3B,0,5.7491847348424825,0.09706959706959707,112,0.3297072767137407,0.0,84.27986120753243,0.265306122,10.7142857,30.357142800000002,32.92181069958848,28.934010152284266,83.20610687022902,0.0,0.0,0.0,0.0,4.5830296058834525,Trevor-Werner-687731,/players/trevor-werner/sa3022592/stats/batting
Camden Janik,sa3034572,812518.0,23,A+,PIT,OF,0,20.381085359090928,0.6758241758241759,112,0.3849584981127902,0.0,117.49317940937456,0.104651163,16.964285699999998,14.2857142,28.308823529411764,19.19191919191919,91.24087591240877,0.0,0.0,0.0,0.0,2.0949666742967183,Camden-Janik-812518,/players/camden-janik/sa3034572/stats/batting
Jonathan Vastine,sa3044390,695570.0,23,A+,SDP,SS,0,4.449492206157401,0.0641025641025641,111,0.22505007588535275,0.0,20.85607009458313,0.147058824,6.306306299999999,46.8468468,34.87394957983193,50.717703349282296,65.21739130434783,0.0,0.0,0.0,0.0,5.333965595452048,Jonathan-Vastine-695570,/players/jonathan-vastine/sa3044390/stats/batting
Adrian Rodriguez,sa3019899,703641.0,22,A+,ARI,SS,0,13.909711277723673,0.4084249084249084,110,0.22674524066624815,0.0,27.00048522717455,0.061855670999999994,7.2727271999999985,20.0,31.944444444444446,24.022346368715088,81.57894736842105,0.0,0.0,0.0,0.0,5.342535019566483,Adrian-Rodriguez-703641,/players/adrian-rodriguez/sa3019899/stats/batting
Carlos Sanchez,sa3018613,801522.0,21,A+,MIA,C,0,21.445614187603592,0.706959706959707,109,0.30390554502469685,0.0,71.45779681215295,0.20430107600000003,12.844036599999999,29.357798100000004,22.62773722627737,28.26086956521739,87.76978417266187,0.0,0.0,0.0,0.0,4.181248837940322,Carlos-Sanchez-801522,/players/carlos-sanchez/sa3002975/stats/pitching
