Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Luis Robert Jr. NYM,OF,9.53,8.0,2,36,6.4,79.07%,luis robert
Gavin Williams CLE,SP,9.38,9.0,3,26,9.5,100%,gavin williams
Matt Chapman SFG,3B,9.36,9.0,1,27,6.3,82.558%,matt chapman
Nick Pivetta SDP,SP,9.3,9.0,2,28,6.6,94.767%,nick pivetta
Matt McLain CIN,2B/SS,9.28,9.0,1,23,6.1,56.105%,matt mclain
Spencer Schwellenbach ATL,SP,9.27,9.0,1,27,6.4,99.128%,spencer schwellenbach
Dylan Crews WSN,OF,9.26,9.0,1,26,7.0,95.93%,dylan crews
Kerry Carpenter DET,OF,9.21,9.0,1,21,5.8,94.477%,kerry carpenter
Jacob Misiorowski MIL,SP,9.13,8.0,3,44,24.0,100%,jacob misiorowski
Pete Fairbanks MIA,RP,9.13,9.0,1,24,5.8,88.081%,pete fairbanks
Shane Baz BAL,SP,9.12,9.0,2,18,5.8,97.384%,shane baz
Tyler Soderstrom ATH,1B/OF,9.07,8.0,3,27,15.3,100%,tyler soderstrom
David Bednar NYY,RP,8.92,8.0,2,26,8.0,100%,david bednar
Heliot Ramos SFG,OF,8.73,8.0,2,24,6.4,99.419%,heliot ramos
Geraldo Perdomo ARI,SS,8.7,8.0,1,33,10.9,100%,geraldo perdomo
Max Muncy LAD,3B,8.68,8.0,1,52,6.1,100%,max muncy
J.P. France HOU AAA,SP/RP,8.5,8.5,8,9,1.4,0.581%,j p france hou
Bryce Miller SEA,SP,8.49,8.0,1,26,12.1,100%,bryce miller
Kenley Jansen DET,RP,8.47,7.0,1,28,4.1,82.849%,kenley jansen
Shea Langeliers ATH,C,8.43,8.0,3,28,15.9,100%,shea langeliers
Maikel Garcia KCR,2B/SS/3B/OF,8.33,7.0,3,45,17.1,99.419%,maikel garcia
Dansby Swanson CHC,SS,8.3,8.0,1,22,6.1,96.802%,dansby swanson
Ezequiel Tovar COL,SS,8.25,9.0,1,18,4.5,47.384%,ezequiel tovar
Aaron Nola PHI,SP,8.18,7.0,1,24,3.7,52.326%,aaron nola
Ben Rice NYY,C/1B,8.13,7.0,3,42,21.5,100%,ben rice
Salvador Perez KCR,C/1B,8.1,8.0,1,28,4.1,67.151%,salvador perez
Eugenio Suarez CIN,3B,8.09,7.0,1,24,3.8,90.698%,eugenio suarez
Jordan Lawlar ARI,2B/SS/3B/OF,8.04,8.0,1,18,6.0,98.256%,jordan lawlar
Robert Suarez ATL,RP,7.99,7.0,1,27,5.1,93.605%,robert suarez
Chase Burns CIN,SP/RP,7.97,7.0,3,30,17.8,100%,chase burns
Aroldis Chapman BOS,RP,7.97,7.5,3,25,10.5,100%,aroldis chapman
Luis Arraez SFG,1B/2B,7.94,8.0,1,19,5.6,100%,luis arraez
Jacob Wilson ATH,SS,7.76,7.0,3,19,6.5,99.709%,jacob wilson
Cade Smith CLE,RP,7.73,7.0,4,28,13.0,100%,cade smith
Trey Yesavage TOR,SP,7.72,7.0,3,31,10.5,100%,trey yesavage
Drew Rasmussen TBR,SP,7.7,7.0,2,24,10.9,100%,drew rasmussen
Roch Cholowsky,Util,7.67,7.0,1,23,5.3,74.709%,roch cholowsky
Jasson Dominguez NYY,OF,7.65,8.0,1,21,7.2,99.128%,jasson dominguez
Kodai Senga NYM,SP/RP,7.6,7.0,1,25,3.0,19.477%,kodai senga
Kyle Bradish BAL,SP,7.58,7.0,3,26,12.5,99.709%,kyle bradish
Connelly Early BOS,SP,7.56,7.0,1,19,6.2,98.547%,connelly early
Bubba Chandler PIT,SP,7.55,7.0,3,26,7.1,99.128%,bubba chandler
Cam Schlittler NYY,SP,7.54,7.0,3,37,11.7,100%,cam schlittler
Ceddanne Rafaela BOS,2B/OF,7.51,7.0,1,26,7.2,99.709%,ceddanne rafaela
Lawrence Butler ATH,OF,7.4,6.0,2,23,4.5,67.733%,lawrence butler
Brandon Woodruff MIL,SP,7.37,7.0,1,18,4.8,48.547%,brandon woodruff
Xavier Edwards MIA,2B/SS,7.36,7.0,1,20,4.9,100%,xavier edwards
Jung Hoo Lee SFG,OF,7.33,7.0,1,35,4.9,99.709%,jung hoo lee
Jac Caglianone KCR,1B/OF,7.31,6.0,3,26,18.3,100%,jac caglianone
Wilyer Abreu BOS,OF,7.31,7.0,1,26,11.5,100%,wilyer abreu
Nolan McLean NYM,SP,7.24,6.0,3,40,18.8,100%,nolan mclean
Dillon Tate LAA AAA,RP,7.0,7.0,7,7,1.2,0.291%,dillon tate laa
Trevor Megill MIL,RP,6.97,6.0,2,30,4.4,100%,trevor megill
